[2020-10-06 09:01:35,433] I Kiwoom.py | Kiwoom-__init__-0065 I DEBUG    > Kiwoom() class start.
[2020-10-06 09:01:52,676] I Kiwoom.py | Kiwoom-get_login_info-0613 I DEBUG    > 계좌번호 : 8146379811
[2020-10-06 09:01:53,477] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-10-06 09:01:53,478] I Kiwoom.py | Kiwoom-_opw00001-0674 I DEBUG    > 예수금 : 96703585
[2020-10-06 09:01:54,685] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-10-06 09:01:54,687] I Kiwoom.py | Kiwoom-_opw00018-0835 I DEBUG    > 계좌평가잔고내역요청 싱글데이터 : 3,284,945 - -47,494 - -1.45
[2020-10-06 09:01:54,688] I Kiwoom.py | Kiwoom-_opw00018-0863 I DEBUG    > sPreNext : 
[2020-10-06 09:03:31,249] I Kiwoom.py | Kiwoom-__init__-0065 I DEBUG    > Kiwoom() class start.
[2020-10-06 09:03:37,535] I Kiwoom.py | Kiwoom-get_login_info-0613 I DEBUG    > 계좌번호 : 8146379811
[2020-10-06 09:03:38,746] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-10-06 09:03:38,748] I Kiwoom.py | Kiwoom-_opw00001-0674 I DEBUG    > 예수금 : 96703585
[2020-10-06 09:03:39,108] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [00Z310] 모의투자 조회가 완료되었습니다
[2020-10-06 09:03:39,109] I Kiwoom.py | Kiwoom-_opw00018-0835 I DEBUG    > 계좌평가잔고내역요청 싱글데이터 : 3,284,945 - -35,564 - -1.08
[2020-10-06 09:03:39,110] I Kiwoom.py | Kiwoom-_opw00018-0863 I DEBUG    > sPreNext : 
[2020-10-06 09:03:40,770] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
[2020-10-06 09:03:40,771] I Kiwoom.py | Kiwoom-_receive_real_data-0512 I DEBUG    > 매수주문 전달 성공
[2020-10-06 09:03:40,825] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 6001, 요청이름: 신규매수, tr코드: KOA_NORMAL_BUY_KP_ORD --- [00Z112] 모의투자 정상처리 되었습니다
[2020-10-06 09:03:42,120] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2020-10-06 09:03:42,650] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
[2020-10-06 09:03:42,652] I Kiwoom.py | Kiwoom-_receive_real_data-0512 I DEBUG    > 매수주문 전달 성공
[2020-10-06 09:03:42,653] I Kiwoom.py | Kiwoom-_receive_real_data-0531 I DEBUG    > 매수취소 전달 성공
[2020-10-06 09:03:42,718] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 6001, 요청이름: 신규매수, tr코드: KOA_NORMAL_BUY_KP_ORD --- [00Z112] 모의투자 정상처리 되었습니다
[2020-10-06 09:03:42,753] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 6001, 요청이름: 매수취소, tr코드: KOA_NORMAL_KP_CANCEL --- [00Z115] 모의투자 정상처리 되었습니다
[2020-10-06 09:03:42,855] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
[2020-10-06 09:03:42,856] I Kiwoom.py | Kiwoom-_receive_real_data-0512 I DEBUG    > 매수주문 전달 성공
[2020-10-06 09:03:42,858] I Kiwoom.py | Kiwoom-_receive_real_data-0531 I DEBUG    > 매수취소 전달 성공
[2020-10-06 09:03:42,858] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
[2020-10-06 09:03:42,860] I Kiwoom.py | Kiwoom-_receive_real_data-0512 I DEBUG    > 매수주문 전달 성공
[2020-10-06 09:03:42,861] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:42,893] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 6001, 요청이름: 신규매수, tr코드: KOA_NORMAL_BUY_KP_ORD --- [00Z112] 모의투자 정상처리 되었습니다
[2020-10-06 09:03:42,958] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 6001, 요청이름: 매수취소, tr코드: KOA_NORMAL_KP_CANCEL --- [00Z115] 모의투자 정상처리 되었습니다
[2020-10-06 09:03:42,991] I Kiwoom.py | Kiwoom-msg_slot-0187 I DEBUG    > 스크린: 6001, 요청이름: 신규매수, tr코드: KOA_NORMAL_BUY_KP_ORD --- [00Z112] 모의투자 정상처리 되었습니다
[2020-10-06 09:03:43,252] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
[2020-10-06 09:03:43,252] I Kiwoom.py | Kiwoom-_receive_real_data-0514 I DEBUG    > 매수주문 전달 실패
[2020-10-06 09:03:43,253] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:43,254] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:43,255] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
[2020-10-06 09:03:43,255] I Kiwoom.py | Kiwoom-_receive_real_data-0514 I DEBUG    > 매수주문 전달 실패
[2020-10-06 09:03:43,256] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:43,257] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:43,258] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
[2020-10-06 09:03:43,259] I Kiwoom.py | Kiwoom-_receive_real_data-0514 I DEBUG    > 매수주문 전달 실패
[2020-10-06 09:03:43,260] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:43,260] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:43,549] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
[2020-10-06 09:03:43,550] I Kiwoom.py | Kiwoom-_receive_real_data-0514 I DEBUG    > 매수주문 전달 실패
[2020-10-06 09:03:43,551] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:43,551] I Kiwoom.py | Kiwoom-_receive_real_data-0533 I DEBUG    > 매수취소 전달 실패
[2020-10-06 09:03:43,552] I Kiwoom.py | Kiwoom-_receive_real_data-0494 I DEBUG    > 매수조건 통과 084010 
