[2021-11-12 00:00:20,349] I Kiwoom.py | Kiwoom-__init__-0051 I DEBUG    > Kiwoom() class start.
[2021-11-12 00:00:32,196] I Kiwoom.py | Kiwoom-get_login_info-0696 I DEBUG    > 계좌번호 : 8010187611
[2021-11-12 00:00:32,813] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [100000] 모의투자 조회완료
[2021-11-12 00:00:32,815] I Kiwoom.py | Kiwoom-_opw00001-0759 I DEBUG    > 예수금 : 32791851
[2021-11-12 00:00:32,900] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [100000] 모의투자 조회완료
[2021-11-12 00:00:32,902] I Kiwoom.py | Kiwoom-_opw00018-0920 I DEBUG    > 계좌평가잔고내역요청 싱글데이터 : 68,055,766 - -2,413,424 - -3.55
[2021-11-12 00:00:32,907] I Kiwoom.py | Kiwoom-_opw00018-0948 I DEBUG    > sPreNext : 
[2021-11-12 00:00:32,937] I MySQL_control.py | Kiwoom-logging_print-0065 I DEBUG    > SUCCESS LOAD stocks_portfolio TABLE LIST FROM DB!
[2021-11-12 00:00:33,071] I MySQL_control.py | Kiwoom-logging_print-0065 I DEBUG    > SUCCESS LOAD 강환국_울트라_소형주_DATA FROM DB!
[2021-11-12 00:00:36,080] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2021-11-12 00:20:43,612] I MySQL_control.py | Kiwoom-logging_print-0065 I DEBUG    > SAVE SUCCESS TO DB!
[2021-11-12 00:20:43,612] I Kiwoom.py | Kiwoom-read_code-0440 I DEBUG    > SUCCESS UPDATE meme_portfolio
[2021-11-12 09:04:12,288] I Kiwoom.py | Kiwoom-__init__-0051 I DEBUG    > Kiwoom() class start.
[2021-11-12 09:04:50,548] I Kiwoom.py | Kiwoom-get_login_info-0696 I DEBUG    > 계좌번호 : 8010187611
[2021-11-12 09:04:51,186] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [100000] 모의투자 조회완료
[2021-11-12 09:04:51,187] I Kiwoom.py | Kiwoom-_opw00001-0759 I DEBUG    > 예수금 : 32791851
[2021-11-12 09:04:51,256] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [100000] 모의투자 조회완료
[2021-11-12 09:04:51,257] I Kiwoom.py | Kiwoom-_opw00018-0920 I DEBUG    > 계좌평가잔고내역요청 싱글데이터 : 68,055,766 - -1,911,108 - -2.81
[2021-11-12 09:04:51,262] I Kiwoom.py | Kiwoom-_opw00018-0948 I DEBUG    > sPreNext : 
[2021-11-12 09:04:51,273] I MySQL_control.py | Kiwoom-logging_print-0065 I DEBUG    > SUCCESS LOAD stocks_portfolio TABLE LIST FROM DB!
[2021-11-12 09:04:51,369] I MySQL_control.py | Kiwoom-logging_print-0065 I DEBUG    > SUCCESS LOAD 강환국_울트라_소형주_DATA FROM DB!
[2021-11-12 09:04:54,399] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
[2021-11-12 09:05:03,302] I Kiwoom.py | Kiwoom-__init__-0051 I DEBUG    > Kiwoom() class start.
[2021-11-12 09:05:09,948] I Kiwoom.py | Kiwoom-get_login_info-0696 I DEBUG    > 계좌번호 : 8010187611
[2021-11-12 09:05:10,458] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: 2000, 요청이름: 예수금상세현황요청, tr코드: opw00001 --- [100000] 모의투자 조회완료
[2021-11-12 09:05:10,460] I Kiwoom.py | Kiwoom-_opw00001-0759 I DEBUG    > 예수금 : 32791851
[2021-11-12 09:05:10,555] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: 2000, 요청이름: 계좌평가잔고내역요청, tr코드: opw00018 --- [100000] 모의투자 조회완료
[2021-11-12 09:05:10,556] I Kiwoom.py | Kiwoom-_opw00018-0920 I DEBUG    > 계좌평가잔고내역요청 싱글데이터 : 68,055,766 - -1,910,540 - -2.81
[2021-11-12 09:05:10,561] I Kiwoom.py | Kiwoom-_opw00018-0948 I DEBUG    > sPreNext : 
[2021-11-12 09:05:10,589] I MySQL_control.py | Kiwoom-logging_print-0065 I DEBUG    > SUCCESS LOAD stocks_portfolio TABLE LIST FROM DB!
[2021-11-12 09:05:10,725] I MySQL_control.py | Kiwoom-logging_print-0065 I DEBUG    > SUCCESS LOAD 강환국_울트라_소형주_DATA FROM DB!
[2021-11-12 09:05:13,744] I Kiwoom.py | Kiwoom-msg_slot-0244 I DEBUG    > 스크린: , 요청이름: , tr코드:  ---  조회가 완료되었습니다.
